date,open,close,high,low,volume,amount,amplitude,change_percent,change_amount,turnover,symbol
2025-05-08,1994.05,2029.45,2036.1,1991.65,208336585,375817862445.41,2.23,1.65,32.94,3.84,399006.SZ
2025-05-09,2028.43,2011.77,2028.43,2004.48,192198639,336031657418.41,1.18,-0.87,-17.68,3.54,399006.SZ
2025-05-12,2042.9,2064.71,2066.31,2038.34,194979499,368155868587.42,1.39,2.63,52.94,3.59,399006.SZ
2025-05-13,2091.35,2062.26,2091.35,2058.74,197820037,368230474666.05,1.58,-0.12,-2.45,3.64,399006.SZ
2025-05-14,2062.27,2083.14,2103.37,2051.82,193513311,369473326977.16,2.5,1.01,20.88,3.56,399006.SZ
2025-05-15,2076.04,2043.25,2076.04,2043.1,176851858,315818937738.25,1.58,-1.91,-39.89,3.26,399006.SZ
2025-05-16,2035.87,2039.45,2050.89,2035.87,163436423,298459891782.97,0.74,-0.19,-3.8,3.01,399006.SZ
2025-05-19,2038.05,2032.76,2038.05,2017.17,166217009,290268824267.91,1.02,-0.33,-6.69,3.06,399006.SZ
2025-05-20,2041.5,2048.46,2059.52,2025.86,185563484,324234796147.44,1.66,0.77,15.7,3.42,399006.SZ
2025-05-21,2052.0,2065.39,2077.48,2050.21,175956463,316052135906.68,1.33,0.83,16.93,3.24,399006.SZ
2025-05-22,2065.41,2045.57,2065.41,2043.89,169780258,294063096646.45,1.04,-0.96,-19.82,3.13,399006.SZ
2025-05-23,2043.2,2021.5,2060.09,2021.5,178391659,312868339271.18,1.89,-1.18,-24.07,3.28,399006.SZ
2025-05-26,2016.37,2005.26,2023.49,1991.78,147787119,268696372150.12,1.57,-0.8,-16.24,2.72,399006.SZ
2025-05-27,2001.62,1991.64,2001.62,1983.9,150972274,263612542368.62,0.88,-0.68,-13.62,2.78,399006.SZ
2025-05-28,1996.49,1985.38,2001.95,1981.67,160736605,272207025903.76,1.02,-0.31,-6.26,2.96,399006.SZ
2025-05-29,1988.32,2012.55,2016.21,1986.63,196153778,336645286376.76,1.49,1.37,27.17,3.61,399006.SZ
